Structure de la population résidante permanente par canton, au 31.12.2021;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Âge;;;Sexe;;Nationalité;;État civil 1;;;;;;;Typologie: L'espace à caractère urbain 2;;
Neuchâtel;176 166 ;36 347 ;105 216 ;34 603 ;86 394 ;89 772 ;131 653 ;44 513 ;81 073 ;66 304 ;9 297 ;19 176 ;14 ;251 ;51 ;103 187 ;51 500 ;21 479 
Jura;73 798 ;15 160 ;42 536 ;16 102 ;36 522 ;37 276 ;62 732 ;11 066 ;32 653 ;29 704 ;4 400 ;6 915 ;12 ;96 ;17 ;24 697 ;14 944 ;34 157 
Suisse du Nord-Ouest;1 191 939 ;233 565 ;723 704 ;234 670 ;592 477 ;599 462 ;868 904 ;323 035 ;520 749 ;507 988 ;56 414 ;103 628 ;67 ;2 667 ;395 ;779 365 ;299 616 ;112 958 
Bâle-Ville;196 036 ;34 337 ;122 872 ;38 827 ;95 406 ;100 630 ;123 872 ;72 164 ;96 818 ;69 509 ;9 702 ;19 076 ;21 ;795 ;110 ;196 036 ;0 ;0 
Bâle-Campagne;292 817 ;56 267 ;170 238 ;66 312 ;143 638 ;149 179 ;223 507 ;69 310 ;120 231 ;130 332 ;15 822 ;25 616 ;11 ;715 ;88 ;198 771 ;87 178 ;6 868 
Argovie;703 086 ;142 961 ;430 594 ;129 531 ;353 433 ;349 653 ;521 525 ;181 561 ;303 700 ;308 147 ;30 890 ;58 936 ;35 ;1 157 ;197 ;384 558 ;212 438 ;106 090 
Zurich;1 564 662 ;310 609 ;984 746 ;269 307 ;780 245 ;784 417 ;1 136 406 ;428 256 ;743 633 ;616 559 ;62 153 ;135 482 ;80 ;5 686 ;1 017 ;1 208 239 ;346 094 ;10 329 
Suisse orientale;1 203 715 ;237 971 ;727 612 ;238 132 ;604 645 ;599 070 ;918 232 ;285 483 ;519 619 ;520 646 ;58 198 ;103 195 ;58 ;1 733 ;232 ;652 656 ;207 081 ;343 978 
Glaris;41 190 ;7 889 ;24 747 ;8 554 ;20 812 ;20 378 ;30 891 ;10 299 ;17 476 ;17 824 ;2 293 ;3 530 ;2 ;56 ;9 ;31 700 ;0 ;9 490 
Schaffhouse;83 995 ;15 831 ;49 828 ;18 336 ;41 608 ;42 387 ;61 688 ;22 307 ;34 957 ;36 677 ;4 509 ;7 661 ;2 ;162 ;26 ;47 770 ;27 558 ;8 667 
Appenzell Rh.-Ext.;55 585 ;11 313 ;32 862 ;11 410 ;27 993 ;27 592 ;46 368 ;9 217 ;23 785 ;23 954 ;2 763 ;4 973 ;1 ;99 ;10 ;15 679 ;26 853 ;13 053 
Appenzell Rh.-Int.;16 360 ;3 417 ;9 616 ;3 327 ;8 389 ;7 971 ;14 479 ;1 881 ;7 387 ;7 051 ;855 ;1 056 ;1 ;8 ;2 ;0 ;0 ;16 360 
Saint-Gall;519 245 ;106 272 ;314 899 ;98 074 ;260 651 ;258 594 ;389 811 ;129 434 ;227 645 ;222 885 ;24 278 ;43 581 ;26 ;714 ;86 ;359 447 ;68 123 ;91 675 
Grisons;201 376 ;35 248 ;121 024 ;45 104 ;101 045 ;100 331 ;162 520 ;38 856 ;86 183 ;86 950 ;10 737 ;17 216 ;14 ;239 ;34 ;66 054 ;24 667 ;110 655 
Thurgovie;285 964 ;58 001 ;174 636 ;53 327 ;144 147 ;141 817 ;212 475 ;73 489 ;122 186 ;125 305 ;12 763 ;25 178 ;12 ;455 ;65 ;132 006 ;59 880 ;94 078 
Suisse centrale;833 178 ;165 651 ;511 804 ;155 723 ;420 053 ;413 125 ;659 542 ;173 636 ;374 188 ;357 169 ;36 925 ;63 156 ;53 ;1 442 ;206 ;488 495 ;109 752 ;234 931 
Lucerne;420 326 ;85 214 ;258 090 ;77 022 ;209 465 ;210 861 ;339 079 ;81 247 ;193 764 ;176 065 ;18 815 ;30 803 ;26 ;720 ;121 ;220 641 ;48 133 ;151 552 
Uri;37 047 ;7 366 ;21 709 ;7 972 ;18 844 ;18 203 ;32 143 ;4 904 ;15 941 ;16 965 ;1 981 ;2 112 ;6 ;37 ;5 ;22 782 ;9 933 ;4 332 
Schwyz;163 689 ;31 400 ;101 748 ;30 541 ;84 061 ;79 628 ;126 855 ;36 834 ;71 384 ;71 177 ;7 192 ;13 603 ;5 ;284 ;41 ;99 436 ;35 041 ;29 212 
Obwald;38 435 ;7 612 ;23 127 ;7 696 ;19 454 ;18 981 ;32 623 ;5 812 ;16 930 ;16 937 ;1 831 ;2 680 ;1 ;50 ;4 ;10 650 ;0 ;27 785 
Nidwald;43 894 ;7 860 ;26 489 ;9 545 ;22 488 ;21 406 ;37 080 ;6 814 ;18 935 ;19 078 ;2 075 ;3 721 ;2 ;60 ;4 ;16 027 ;5 817 ;22 050 
Zoug;129 787 ;26 199 ;80 641 ;22 947 ;65 741 ;64 046 ;91 762 ;38 025 ;57 234 ;56 947 ;5 031 ;10 237 ;13 ;291 ;31 ;118 959 ;10 828 ;0 
Tessin;352 181 ;62 356 ;207 470 ;82 355 ;171 449 ;180 732 ;254 310 ;97 871 ;151 360 ;146 769 ;21 284 ;32 119 ;43 ;520 ;84 ;249 994 ;76 806 ;25 381 
"1 Rupture de série: à partir de 2014, les ""Sans indication” ne sont pas compris";;;;;;;;;;;;;;;;;;
"2 Selon la typologie de l’OFS ""L'espace à caractère urbain, 2012"" à l’état territorial au 31.12.2021";;;;;;;;;;;;;;;;;;
Source: Office fédéral de la statistique, STATPOP;;;;;;;;;;;;;;;;;;
© OFS;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Renseignements: Office fédéral de la statistique (OFS), section Démographie et migration, info.dem@bfs.admin.ch, tél. 058 463 67 11;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
